Grosser Topf,Kleiner Topf,Sieb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becher,Becher,Becher,Becher,Becher,Bechertasse,Bechertasse,Bechertasse,Bechertasse,Bechertasse,Schnapsglas,Schnapsglas,Schnapsglas,Schnapsglas,Schnapsglas,Sektglas,Sektglas,Sektglas,Sektglas,Sektglas,Wasserglas,Wasserglas,Wasserglas,Wasserglas,Wasserglas,Weinglas,Weinglas,Weinglas,Weinglas,Weinglas,,,
Grosse Teller,Grosse Teller,Grosse Teller,Grosse Teller,Grosse Teller,Kleiner Teller,Kleiner Teller,Kleiner Teller,Kleiner Teller,Kleiner Teller,Salatbesteck,Tablett,tiefe Teller,tiefe Teller,tiefe Teller,tiefe Teller,tiefe Teller,Tischdecke,Topflappen,,,,,,,,,,,,,,
Dosenoeffner,Flaschenoeffner,Gabel,Gabel,Gabel,Gabel,Gabel,Geschirrhandtuch,Grosses Kuechenmesser,Kartoffelschaeler,Kleines Kuechenmesser,Loeffel,Loeffel,Loeffel,Loeffel,Loeffel,Messer,Messer,Messer,Messer,Messer,Nudelzange,Pfannenwender,Pfannenwender00,Schere,Schneebesen,Suppenkelle,Weinoeffner,,,,,
Bierkrug,Bierkrug,Bierkrug,Bierkrug,Bierkrug,Essig,Oel ,Saft,Trinkflasche,Vase,,,,,,,,,,,,,,,,,,,,,,,
Bruehe,Kleine Schuessel,Kleine Schuessel,Kleine Schuessel,Kleine Schuessel,Kleine Schuessel,Salatschuesselchen,Salatschuesselchen,Salatschuesselchen,Salatschuesselchen,Salatschuesselchen,Schokolade,Servietten,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Suppentasse mit 2 Henkel,Teetasse mit Untertasse,Teetasse mit Untertasse,Teetasse mit Untertasse,Teetasse mit Untertasse,Teetasse mit Untertasse,Zwiebeln,,,,,,,,,
Grosse Pfanne,kleine Pfanne,Schneidebrett,Servierplatte,Wok,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaffeemaschine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaffeekanne,Messbecher,Teekanne,Thermoskanne,Wasserkocher,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grosse Schuessel,Grosse Schuessel,Grosse Schuessel,Grosse Schuessel,Grosse Schuessel,Kuchenform,Suppenschuessel,Toaster,Tupperware,,,,,,,,,,,,,,,,,,,,,,,,
